Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2000","2000","kg/ha","2.57"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2001","2001","kg/ha","2.73"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2002","2002","kg/ha","2.58"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","3.18"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","3.68"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","3.91"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","3.96"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","5.02"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2008","2008","kg/ha","5.14"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2009","2009","kg/ha","5.5"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2010","2010","kg/ha","5.85"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2011","2011","kg/ha","6.6"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2012","2012","kg/ha","7.35"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2013","2013","kg/ha","7.57"
"RP","Pesticides Use","076","Brazil","5159","Use per area of cropland","1357","Pesticides (total)","2014","2014","kg/ha","7.72"
